# id|main|method|difficulty|hard prerequisites(;)|secondary(;)|task groups(/),observable steps(;)|structural family|variant|local alternatives(;)|dependencies|review note
12C01|线性递归的时间复杂度|展开递推式并累计每层常数开销|1|递归边界;渐近复杂度|-|识别每次调用的规模变化;统计递归层数及每层工作量|LINEAR_RECURSION_COMPLEXITY|递归求非负整数阶乘|-|-|-
12C02|中缀转后缀的栈容量|按优先级和括号模拟运算符栈|2|栈操作;运算符优先级|-|逐字符判断运算符入栈和弹出;处理左右括号;记录同时在栈的最大个数|OPERATOR_STACK_PEAK|给定中缀和后缀表达式|-|-|-
12C03|前后序遍历约束的祖先关系|用子树遍历块判断根的孩子|2|二叉树遍历|-|定位根结点;比较前序首子树与后序末子树边界;判断根是否只有一个孩子|TREE_PRE_POST_ANCESTRY|前序第二项等于后序倒数第二项|-|-|不将祖先关系可确定误写为整棵二叉树可唯一重建
12C04|AVL最少结点递推|按相差一层的左右子树递推计数|2|平衡因子;二叉树高度|-|由平衡因子确定两子树高度;建立含根结点的计数递推;从初值逐层计算|AVL_MIN_NODE_RECURRENCE|所有非叶结点平衡因子相同|-|-|-
12C05|邻接表广度优先遍历复杂度|分别统计顶点和边的访问成本|1|邻接表;BFS队列|-|统计各顶点入队次数;统计邻接边扫描量;合并两个成本项|ADJACENCY_BFS_COMPLEXITY|有向图用邻接表存储|-|-|-
12C06|三角邻接矩阵与拓扑序|由边的编号单调性判断无环并检验唯一性|2|邻接矩阵;拓扑排序|-|将矩阵非零位置转为边方向约束;判断有向环能否形成;检查偏序是否强制唯一排列|TRIANGULAR_MATRIX_TOPOLOGY|主对角线下方元素为零|-|-|解析沿用无自环图口径；不把未约束对角元的一般矩阵直接推广为必然无环
12C07|Dijkstra最短路径确定顺序|反复松弛并选取未确定距离最小的顶点|2|带权有向图;路径长度|-|从图读取边及权值;更新暂定距离;逐次确定最小未定顶点|DIJKSTRA_SETTLEMENT_ORDER|已有前两个确定顶点|-|-|解析表格的e和f两行标题互换，图和集合S的推进顺序可交叉核对
12C08|最小生成树的唯一性条件|区分最优代价唯一与结构唯一并检查反例|2|生成树;Prim与Kruskal|-|区分树形和最小总代价;检查等权边成环时的必选性;比较不同构造过程可能结果|MST_UNIQUENESS_ASSERTIONS|多个关于最小生成树的断言|-|-|解析关于环中等权边数量的例子条件不充分，不采用该泛化
12C09|B树删除时的兄弟借位|经父结点重分配相邻叶结点关键字|2|B树阶数;结点关键字下界|-|检查删除后是否下溢;确定兄弟可借关键字;沿父结点执行上移和下移|B_TREE_DELETE_REDISTRIBUTION|三阶B树最右叶删除|-|-|-
12C10|排序每趟的最终位置不变量|比较极值选择枢轴定位与局部有序|1|内部排序算法|-|逐个检查排序一趟后的保证;区分最终位置与局部有序段|SORT_PASS_INVARIANTS|五类排序的定位保证|-|-|-
12C11|插入排序的比较与移动成本|分离插入点查找和元素移动阶段|1|直接插入;折半查找|-|比较两种查找插入点的方式;核对移动次数趟数和空间是否改变|INSERTION_SEARCH_MOVE_COST|同一序列用折半和直接插入|-|-|-
12C12|部分加速后的总执行时间|将可加速CPU时间与固定I/O时间分开|1|CPU执行时间;加速比|-|分解原总时间;仅缩短题设受影响部分;重新合并总执行时间|PARTIAL_SPEEDUP_TIME|只提高CPU速度而I/O不变|-|-|-
12C13|无符号整数的位宽扩展|保持数值并在高位补零|1|二进制位权;无符号编码|-|区分有符号与无符号扩展;按目标位宽补齐高位|UNSIGNED_ZERO_EXTENSION|短无符号整型转长无符号整型|-|-|-
12C14|IEEE754最大有限数|排除保留阶码并取最大有效数|1|单精度字段;规格化数|-|识别有限数允许的最大阶码;确定最大尾数字段;按位权表达可表示上界|IEEE754_MAX_FINITE|求最大可表示正整数|-|-|此处求最大有限整数，不是所有整数均可精确表示的连续区间上界
12C15|结构体对齐与小端存储|按成员对齐依次布置字节并读取低地址|2|边界对齐;小端字节序|-|计算成员偏移及填充位置;将整型机器数拆成字节;读取指定地址内容|STRUCT_ALIGNMENT_ENDIAN|混合int字符short成员|-|-|-
12C16|闪存的读写与非易失性|按擦写机制和掉电保持特征辨析|1|半导体存储器|-|区分读操作与擦写操作;核对非易失性和访问方式|FLASH_MEMORY_PROPERTIES|判断闪存性质错误项|-|-|按原题历史口径提取性质，不采用原考点综合作为最终知识名
12C17|组相联Cache与LRU访问跟踪|先固定分组映射再逐组维护最近使用次序|2|Cache行与主存块;组相联映射|-|明确题内解析采用的地址分组规则;逐次检查组内命中;更新LRU状态并统计命中|SET_ASSOC_LRU_TRACE|四行两路且每块一字|-|-|本地明确使用一种分组约定且提示与另一教材口径不同；只填分组后LRU模拟行为，不推测命题来源、不推广该映射公式或确切命中结果
12C18|微指令字段直接编码位数|各互斥组计入空操作后分别编码|1|微命令互斥与相容;二进制编码|-|为每组保留不发命令状态;分别求最小编码位数;累加字段长度|MICROINSTRUCTION_FIELD_BITS|五个互斥类的直接编码|-|-|-
12C19|地址数据复用总线的突发事务时间|合计一次地址周期和多次数据周期|1|同步总线;位宽换算|-|计算单次传输可带数据量;计入地址阶段;按总周期数换算时间|BURST_BUS_TRANSACTION|一次写入跨多个总线字|-|-|-
12C20|USB串行总线特征|按串行传输和连接功能逐项辨析|1|串行与并行总线|-|核对热插拔与扩展连接特性;区分串行传输和同时并行比特数|USB_SERIAL_PROPERTIES|历史真题的USB功能判断|-|-|不采纳解析将级联拓扑称为菊花链及未注明版本的速率泛化
12C21|I/O数据线的字信息承载|区分命令状态数据与握手控制信号|1|I/O接口;总线分工|-|判断接口寄存器字和中断类型号的承载通路;与控制线上的时序信号区分|BUS_SIGNAL_CLASSIFICATION|命令字状态字和中断类型号|-|-|解析将命令字方向及控制线方向一概而论有误，标签仅据接口字信息与控制信号区别
12C22|中断隐指令的硬件操作|按响应阶段划分硬件与服务程序职责|1|中断响应;程序计数器|-|识别硬件关中断保存断点和引出入口;区分软件保存通用寄存器|INTERRUPT_HARDWARE_RESPONSE|外部中断响应操作集合|-|-|-
12C23|用户态事件与内核处理边界|区分事件发生状态和处理程序执行状态|1|系统调用;中断异常|-|辨别用户运行期间能触发的事件;将进程切换操作定位到内核执行|USER_KERNEL_EVENT_BOUNDARY|发生与执行的措辞区别|-|-|不把解析进程切换属于系统调用过程的说法推广为唯一触发途径
12C24|中断与子程序的现场保护|比较程序状态字与返回地址的保存需求|1|中断响应;调用返回|-|核对两种控制转移需要的现场;识别中断额外保护的处理器状态|INTERRUPT_CALL_SAVED_STATE|两类压栈保护比较|-|-|按题内抽象调用模型，不推定所有调用约定均不保存状态标志
12C25|虚拟存储的实现与容量约束|区分离散调入机制与单一物理容量限制|1|请求分页;请求分段|-|识别虚拟存储所需的按需调入单位;排除仅凭内存或外存容量决定虚存的断言|VIRTUAL_MEMORY_CONSTRAINTS|分配方式及容量决定因素|-|-|解析末尾声称完全不受外存限制过强，标签不采纳该扩展结论
12C26|I/O软件处理层次|按用户请求到设备完成的职责逐层排序|1|系统调用;设备驱动|-|区分用户级设备无关驱动和中断处理层;按相邻层接口连接请求流程|IO_SOFTWARE_REQUEST_FLOW|四层I/O子系统排列|-|-|题干开头混入上一年题的引导句，当前四层排列任务完整
12C27|银行家安全性检验|逐进程匹配需求并回收已分配资源|2|资源向量;安全序列|-|由总资源和已分配量计算可用向量;计算尚需资源;逐步检验候选安全序列|BANKER_SAFETY_TRACE|五进程三类资源给总量和分配表|-|-|-
12C28|文件read调用的内核路径|区分打开文件描述符陷入和I/O阻塞|1|文件描述符;进程阻塞|-|识别read使用已打开文件的描述符;说明请求内核服务的状态切换;分析未缓存数据时的等待|FILE_READ_SYSCALL_PATH|磁盘文件读取的三个断言|-|-|解析把文件数据不在内存直接等同缺页中断不严谨，标签只确认I/O等待与陷入
12C29|多作业CPU与I/O重叠调度|在资源互斥和作业内部顺序下绘制甘特图|2|作业到达;CPU与I/O并行|-|按到达时刻安排可执行段;重叠独立CPU和I/O阶段;检查空闲区间并求最短完成时间|CPU_IO_MAKESPAN|两个作业各有两段计算和一段I/O|-|-|配图将P1和P2行名互换，文字给出的阶段长度和先后关系明确
12C30|处理机调度的触发时机|区分一般临界区与内核不可调度区|1|就绪态;临界资源|-|逐项检查调度发生条件;避免把占用一般临界资源等同禁止调度|SCHEDULING_CRITICAL_SECTION|进程结束创建返回和临界区比较|-|-|-
12C31|进程资源与线程调度职责|分别判断资源单位地址空间与用户级管理|1|进程与线程|-|区分资源分配和执行调度单位;核对同进程地址空间共享;分析用户级线程切换范围|PROCESS_THREAD_RESPONSIBILITY|线程支持下的进程属性|-|-|-
12C32|磁盘I/O性能改进机制|把各措施对应寻道重叠和布局成本|1|磁盘访问时延;缓冲|-|分析请求重排预读滞后写和物理布局的收益;区分简单分区与访问优化|DISK_IO_OPTIMIZATIONS|多项磁盘性能措施辨析|-|-|-
12C33|ICMP与IP的封装关系|按被承载协议与直接下层服务配对|1|TCPIP分层|-|定位ICMP报文所处的IP载荷;区分直接承载和更低层间接服务|ICMP_IP_ENCAPSULATION|寻找ICMP的直接服务协议|-|-|-
12C34|物理层接口的过程特性|按描述对象区分机械电气功能和时序|1|物理层接口|-|将事件顺序对应接口时序要求;区分线路含义与操作过程|PHYSICAL_INTERFACE_TIMING|事件发生顺序的特性分类|-|-|-
12C35|以太网MAC服务类型|按是否建连与是否确认重传划分|1|以太网MAC;可靠服务|-|识别以太网连接状态;检查接收确认和重传责任;判断服务类型|ETHERNET_MAC_SERVICE|连接性与可靠性组合|-|-|-
12C36|GBN满载窗口与序号位数|用数据确认往返周期求连续发送窗口|2|GBN窗口上界;传播与发送时延|-|按原题最短帧口径求发送时间;计入等长确认发送和往返传播;将所需窗口向上取整并匹配序号空间|GBN_WINDOW_FULL_UTILIZATION|帧长范围且确认帧与数据等长|-|-|明确采用本地解析最短帧的满载保证口径，不把实数帧数直接当合法窗口
12C37|IP路由器的控制与转发功能|区分路由学习转发和尽力交付限制|1|路由表;IP首部校验|-|核对路由协议与目的地址转发职责;分析拥塞丢弃;区分首部校验和保证不丢包|IP_ROUTER_FUNCTIONS|多项路由器功能断言|-|-|未把解析的历史源点抑制报文叙述转换为当前协议建议
12C38|ARP地址解析|按同链路交付需求匹配协议方向|1|IPv4地址;MAC地址|-|区分网络层地址链路地址及域名;确定ARP输入输出的地址层次|ARP_IP_TO_MAC|四类地址转换方向辨析|-|-|-
