# id|main|method|difficulty(1-4)|hard prerequisites(;)|secondary(;)|unit tasks(/), evidence steps(;)|isomorphic signature|source variant|explicit alternative methods(;)|dependencies|source issues
08C01|变上限积分导函数的零点判定|复合变上限求导并利用单调性证明唯一性|2|复合函数求导|导数与单调性|求出变上限积分的导函数;结合函数值和二阶导符号判定零点个数|VLI_DERIVATIVE_ZEROS|平方上限与对数被积函数|-|-|-
08C02|梯度的分量计算|分别求偏导并代入指定点|1|一元函数求导|-|计算两个一阶偏导;由偏导组成指定点的梯度|GRADIENT_COMPONENTS|反正切复合函数|-|-|题干分式排版粘连，标签只依赖梯度任务及解析中的偏导结构
08C03|由通解反求常系数齐次微分方程|由解的基本项恢复特征根并构造特征多项式|2|常系数线性方程的特征根与通解对应|-|识别指数项和三角项对应的特征根;构造特征多项式并对应微分方程|ODE_FROM_FUNDAMENTAL_SOLUTIONS|实指数项及正弦余弦对|-|-|-
08C04|单调有界数列的收敛判定|证明复合数列单调且有界|1|函数与数列的单调性|-|把函数单调有界条件传递到复合数列;应用单调有界收敛准则|MONOTONE_BOUNDED_COMPOSITION|单调有界函数作用于单调数列|-|-|旧考点偏向连续性，已按原题与解析改为单调有界收敛
08C05|幂零矩阵的多项式逆|利用有限几何级数型乘积构造逆矩阵|2|矩阵乘法|-|利用矩阵幂零条件截断多项式乘积;用乘积为单位矩阵判定可逆|NILPOTENT_POLYNOMIAL_INVERSE|三次幂为零与单位矩阵加减原矩阵|-|-|-
08C06|二次型正惯性指数的几何判定|由二次曲面标准形确定正特征值个数|2|二次曲面的标准形|实对称矩阵特征值与惯性指数|识别图示双叶双曲面;由标准形正平方项数确定正惯性指数|QUADRIC_INERTIA|已查看原图的双叶双曲面|-|-|-
08C07|独立同分布变量最大值的分布|把最大值事件写成交事件并使用独立性|1|独立事件的乘法公式|-|把最大值不超过阈值转为各变量同时不超过阈值;用独立同分布条件计算分布函数|CDF_MAX_IID|两个独立同分布变量取最大值|-|-|-
08C08|完全相关变量的线性关系|结合完全相关方向及均值约束筛选线性关系|2|相关系数取极值的含义|期望的线性性质|由完全正相关确定线性系数符号;利用均值关系排除不符选项|PERFECT_CORRELATION_LINEAR|不同均值方差的正态变量与正相关|-|-|-
08F09|可分离变量微分方程初值问题|分离变量积分并利用初值确定常数|1|基本积分公式|-|分离自变量和因变量;积分后代入初值确定常数|SEPARABLE_ODE_IVP|齐次一阶乘积导数型方程|-|-|-
08F10|隐函数曲线的切线|隐式求导后写出点斜式切线|2|隐函数求导|-|对隐式曲线关系求导;在给定点确定切线斜率并写点斜式|IMPLICIT_CURVE_TANGENT|三角函数与对数构成的隐式曲线|-|-|-
08F11|幂级数平移后的收敛域|利用等距端点敛散性确定半径并平移区间|2|幂级数的收敛半径与端点判定|-|由原中心两侧等距点的敛散确定收敛域;平移变量并保留端点的包含关系|POWER_SERIES_SHIFT_DOMAIN|相同系数而展开中心改变|-|-|-
08F12|开放曲面通量的计算|补面后用高斯公式并减去补面通量|3|高斯公式|积分的奇偶对称性|补成闭曲面并处理法向方向;用高斯公式和对称性简化体积分;计算补面上的平面积分|FLUX_CAP_GAUSS|抛物面上侧与平面补面|-|-|题干未明确有限曲面边界，解析采用平面截取；具体区域需原始试卷核对
08F13|已知基向量像求矩阵特征值|构造相似表示并求特征多项式|2|矩阵相似变换|-|以线性无关向量构造可逆基矩阵;写出该基下矩阵并求其特征值|EIGEN_FROM_BASIS_ACTION|二维基向量像给定|-|-|-
08F14|泊松分布的矩与点概率|先用均值方差关系求二阶矩再代入分布律|2|泊松分布的分布律|原点矩与方差的关系|由泊松分布的均值方差确定二阶矩;代入相应取值的概率公式|POISSON_MOMENT_EVENT|事件取值由二阶矩定义|-|-|-
08A15|复合三角函数差的高阶极限|等价无穷小化简后使用洛必达法则|3|洛必达法则|等价无穷小替换|识别复合三角函数相消的阶;化简并求取首个非零项贡献|LIMIT_NESTED_TRIG_CANCELLATION|正弦与复合正弦的差|泰勒展开比较首个非零项|-|-
08A16|平面第二类曲线积分|以横坐标参数化并化为定积分|2|曲线积分的参数化公式|分部积分|把曲线及方向代入参数化公式;化简被积函数并完成定积分|LINE2_PARAMETER_GRAPH|正弦图像上的有向曲线|补线段后使用格林公式;拆出与路径无关的积分部分|-|-
08A17|双约束条件极值|构造含两个乘子的拉格朗日函数|3|多元函数偏导数|-|把空间点到平面的距离转化为目标函数;联立乘子方程和两个约束;比较候选点对应的距离|LAGRANGE_TWO_CONSTRAINTS|二次曲面与平面的交线求距离极值|-|-|旧考点误标为重积分应用，原文实际为条件极值
08A18|变上限积分的可导性与周期性|差商结合积分中值定理并对周期差求导|3|导数定义;积分中值定理|周期函数的积分性质|由差商和连续性证明变上限积分可导/构造周期平移之差;证明差函数导数为零并用一点定常数|VLI_PERIODIC_PRIMITIVE|连续周期函数积分减去线性项|利用周期平移换元直接比较积分|1>2|-
08A19|傅里叶余弦级数及求和|计算余弦系数并在指定点代入展开式|2|傅里叶系数公式|级数和函数的点值|计算常数项和余弦系数并写出展开式/选择适当点代入展开式求数项级数和|FOURIER_COSINE_SUM|二次多项式的余弦展开|-|1>2|-
08A20|外积和矩阵的秩界|利用矩阵秩不等式与线性相关表示|2|矩阵秩的不等式|向量组的线性相关性|由外积与加法的秩不等式证明上界/利用向量相关性把外积和化为单个外积并收紧秩界|OUTER_PRODUCT_RANK_BOUND|两个列向量的对称外积之和|-|-|解析以一个向量为另一向量倍数，零向量边界未展开
08A21|含参数线性方程组的解分类|先递推系数行列式再用克拉默法则和秩判定|3|行列式展开与递推;矩阵秩判定解的类型|克拉默法则|建立三对角行列式递推并归纳证明/用系数行列式判定唯一解并计算指定分量/处理参数退化时的秩与通解|PARAM_SYSTEM_TRIDIAGONAL|含参数三对角系数矩阵|-|1>2|矩阵排版和退化情形的解析难以逐项核验，具体矩阵需人工核对
08A22|离散与连续变量之和的分布|按离散变量取值使用全概率公式|2|条件概率;独立性|-|在给定离散取值条件下计算概率/把和的分布函数写成加权平移之和;求导得到密度及支持范围|MIXED_SUM_DISTRIBUTION|三点离散变量与均匀变量相加|-|-|-
08A23|正态样本估计量的无偏性与方差|使用样本均值方差的矩与独立性|3|期望方差的运算|正态样本统计量分布|计算估计量期望并核对目标参数/使用样本统计量的独立性和矩公式计算估计量方差|NORMAL_ESTIMATOR_UNBIASED_VARIANCE|样本均值平方减样本方差缩放|利用二阶矩减期望平方计算方差|1>2|-
