# id|main|method|difficulty|hard prerequisites(;)|secondary(;)|task groups(/),observable steps(;)|structural family|variant|local alternatives(;)|dependencies|review note
13C01|有序链表归并的时间复杂度|双指针顺序比较并头插形成逆序|1|链表遍历;渐近复杂度|-|统计两表元素总处理量;把和的量级换写为最大规模量级|MERGE_LIST_COMPLEXITY|升序链表合为降序|-|-|-
13C02|固定出栈位置的后续值范围|分情形构造合法栈操作证明可达性|2|栈后进先出|-|排除已出栈元素;分别构造较小值与后续入栈值的可达过程|STACK_FIXED_OUTPUT_POSSIBILITY|已知第二个输出求第三个取值数|-|-|解析称首出只能是两个较小元素过强，但这两种构造已足以证明较小值可达
13C03|AVL连续插入的平衡因子|逐次插入并旋转最小失衡子树|2|BST插入;平衡因子|-|按序插入关键字;更新高度并执行旋转;统计最终分支结点的平衡情况|AVL_INSERT_TRACE|升序关键字建空树|-|-|-
13C04|多叉哈夫曼树最小带权路径|补零权叶后反复合并最小权结点|2|哈夫曼构造;满多叉树叶数约束|-|确定补充虚叶数量;逐次合并最小权;按叶深计算带权长度|M_ARY_HUFFMAN|三叉树给六个叶权|-|-|-
13C05|后序线索的后继结点|由叶结点的左右孩子身份确定访问后继|1|后序遍历;线索指针|-|由存在左兄弟判断孩子位置;按后序根后访问规则确定右线索目标|POSTORDER_THREAD_SUCCESSOR|有左兄弟的叶结点|-|-|-
13C06|BST删除后重插的结构变化|利用插入总落在叶位置的性质分类|1|BST插入与删除|-|分别讨论原结点为叶和非叶;比较重插后的结构位置|BST_DELETE_REINSERT|删除同一关键字后插回|-|-|-
13C07|有向邻接矩阵的顶点度|分别求行出度和列入度后合计|1|邻接矩阵;有向图度|-|识别非对称矩阵所表示的方向性;分别统计对应行列非零项|DIRECTED_MATRIX_DEGREE|矩阵中求各顶点总度|-|-|原矩阵排版连写，标签只依据行列度数规则，不补写矩阵数据
13C08|BFS遍历序列合法性|按队列和分层约束模拟候选序列|2|图邻接关系;队列|-|读取配图邻接边;按当前队列展开未访问邻居;核对候选次序|BFS_ORDER_VALIDITY|无向图四个候选遍历序列|-|-|-
13C09|多条关键路径的工期压缩|枚举最长路径并检查加速活动是否覆盖全部|2|AOE关键路径|-|求全部关键路径;逐项检查加速集合是否命中每条关键路径|CRITICAL_PATH_ACCELERATION|多个并列最长路径|-|-|解析排除项编号自相矛盾，图示活动结构和所列路径可以交叉核对
13C10|B树最少关键字数|按根与非根结点下界逐层计数|1|B树阶数和高度|-|分别使用根和其他结点关键字下界;按高度累计最少数量|B_TREE_MIN_KEYS|高度为二的五阶B树|-|-|不把首次分裂的生成过程当作任意高度的一般最少数证明
13C11|低位优先基数排序过程|按当前数位稳定分配再顺序收集|1|稳定排序;桶分配|-|先按低位分组收集;保留同桶相对顺序;执行下一数位的分配|LSD_RADIX_PASSES|三位关键字的第二趟|-|-|-
13C12|指令混合的平均CPI与MIPS|按指令比例加权后用主频换算|1|CPI;时钟频率|-|求加权平均CPI;由主频计算单位时间指令数|WEIGHTED_CPI_MIPS|四类指令不同占比|-|-|-
13C13|IEEE754单精度解码|拆符号阶码尾数并恢复隐含位|1|二进制位权;偏置阶码|-|按字段拆机器数;还原真实指数和有效数;组合真值表示|IEEE754_DECODE|给十六进制单精度编码|-|-|-
13C14|补码移位与定长加法|按算术移位规则处理后相加|2|补码范围;移位补位|-|分别执行倍乘与折半移位;检查舍弃位和溢出;完成定长加法|TWOS_COMPLEMENT_SHIFT_ADD|两项移位后相加|-|-|-
13C15|海明码纠一位错的校验位数|使校验状态覆盖无错及所有错误位置|1|二进制编码;海明码|-|建立数据位校验位与状态数关系;求满足关系的最少校验位|HAMMING_PARITY_BITS|八位数据纠一位错|-|-|-
13C16|全相联TLB的地址转换|拆虚页和偏移后查有效标记|1|分页地址;TLB有效位|-|从页大小确定偏移宽度;查找有效TLB项;拼接页框与原偏移|TLB_ADDRESS_TRANSLATION|给TLB表和虚地址|-|-|-
13C17|变址寻址取操作数|先形成有效地址再读取目标内存|1|变址寄存器;地址与内容区别|-|将寄存器内容与形式地址相加;根据有效地址读取操作数|INDEXED_ADDRESS_OPERAND|多级地址内容作为干扰|-|-|-
13C18|有限指令流水线吞吐率|计入装满排空周期再除总时间|1|流水段数;时钟周期|-|计算无阻塞指令流总周期;用完成条数除以总执行时间|FINITE_PIPELINE_THROUGHPUT|四级流水执行有限条指令|-|-|-
13C19|外设与控制器的接口标准|按连接端点和接口用途分类|1|I/O接口;总线分类|-|区分内部控制器互连与外部设备连接;匹配题设接口标准|BUS_INTERFACE_ENDPOINTS|四种历史接口标准|-|-|仅按本地题设连接分类，不引入当前接口产品规格
13C20|RAID可靠性与性能机制|区分数据冗余恢复与负载并行|1|镜像;奇偶校验|-|判断镜像和校验能否提供恢复信息;与条带化及缓存性能措施区分|RAID_RELIABILITY_MECHANISMS|多项磁盘阵列改进措施|-|-|-
13C21|磁盘平均存取时间|合计寻道旋转传输和控制器延迟|1|转速换算;数据传输率|-|由转速求平均旋转等待;计算数据传输时间;合计各阶段延迟|DISK_AVERAGE_ACCESS_TIME|给转速寻道带宽和控制器延迟|-|-|-
13C22|中断I/O与DMA的职责边界|逐项比较申请资源响应时机及传送主体|1|中断响应;DMA总线请求|-|区分CPU服务时间和总线使用权;判断软硬件传输职责;核对适用条件|INTERRUPT_DMA_COMPARISON|两种I/O方式的性质辨析|-|-|不将DMA每次总线请求等同必然传完整块，也不将适用设备描述推广为绝对限制
13C23|文件删除的元数据操作|区分目标文件对象与其父目录|1|目录项;FCB|-|识别可能回收的文件关联信息;区分删除文件与删除整个父目录|FILE_DELETE_OPERATIONS|判断删除时不应执行的操作|-|-|不把可能回收FCB推广为有其他硬链接时也必然回收
13C24|只读文件的随机访问组织|比较直接地址计算和索引查找开销|1|连续链式索引分配|-|分析只读介质的增长需求;比较定位任意数据块的附加访问|READONLY_FILE_RANDOM_LAYOUT|光盘视频快速随机播放|-|-|-
13C25|设备驱动的地址转换职责|按硬件相关性定位I/O软件层|1|I/O软件分层;磁盘几何地址|-|将设备物理地址计算与设备相关层对应;区分请求入口和完成中断|IO_DRIVER_HARDWARE_MAPPING|柱面磁头扇区计算归属|-|-|按题设CHS抽象模型，不扩展到所有现代磁盘接口实现
13C26|索引文件容量的决定因素|区分单文件地址覆盖与全系统对象总数|1|多级索引;块大小|-|分析地址项数量和间接层级的覆盖能力;区分inode总数的含义|INODE_CAPACITY_FACTORS|识别与单文件长度无关因素|-|-|-
13C27|单缓冲的多块完成时间|按缓冲互斥安排读入传送与分析重叠|2|系统缓冲与用户区|-|确定缓冲释放时刻;重叠允许并行的阶段;计入启动及末块处理|BUFFER_PIPELINE_COMPLETION|两个块与单系统缓冲单工作区|-|-|-
13C28|用户态到内核态的触发|区分普通函数系统调用与处理器异常|1|特权级;陷入与异常|-|判断各操作是否触发内核入口;区分函数调用本身和异常处理|USER_KERNEL_ENTRY_EVENTS|除零普通数学函数和read|-|-|-
13C29|操作系统引导装入位置|区分固件存储和可执行系统内存|1|ROM与RAM;系统引导|-|区分启动固件所在介质与操作系统装入目标|OS_BOOT_MEMORY|开机后系统最终装入位置|-|-|-
13C30|合法缺页的处理动作|按调页需求识别页框分配与置换|1|请求分页;地址保护|-|判断是否需要空闲页框或替换页;区分合法缺页与越界异常|PAGE_FAULT_HANDLER_ACTIONS|缺页时可能执行的操作|-|-|-
13C31|I/O密集进程优先调度|使外设尽早启动以增加资源重叠|1|CPU与I/O重叠|-|比较各进程计算与I/O比例;分析优先启动I/O的利用率收益|IO_BOUND_PRIORITY|三进程不同计算比例|-|-|-
13C32|安全状态与死锁的逻辑关系|区分死锁预防避免及不安全状态|1|银行家算法;安全序列|-|判断安全状态能排除什么;区分不安全与已经死锁;识别避免和预防的机制|SAFETY_DEADLOCK_RELATION|银行家算法性质判断|-|-|-
13C33|OSI表示层职责|定位应用层相邻层并匹配表示功能|1|OSI层次|-|定位表示层;区分格式转换会话管理路由和可靠传输|OSI_PRESENTATION_FUNCTION|应用层相邻层的功能|-|-|-
13C34|曼彻斯特信号解码|按码元边界和中点跳变方向读位|1|以太网编码;码元边界|-|按图划分码元;在声明的极性约定下识别中点跳变;顺序读取比特|MANCHESTER_DECODE|10BaseT接收波形|-|-|原文允许相反极性约定；标签明确先固定编码约定，不猜测其他比特串
13C35|报文与分组的存储转发时间|比较整报文串行转发和分组流水|2|发送时延;分组数量|-|计算单链路报文和分组发送时间;计入各跳串行或重叠阶段;合计最后分组完成时刻|STORE_FORWARD_FILE_TIME|两段等速链路且忽略传播|-|-|解析一处将毫秒误写为秒，后续数量关系明确
13C36|信道划分与随机接入冲突|按资源隔离和竞争访问机制分类|1|FDMA时分码分;载波侦听|-|区分预分资源与侦听竞争;判断传播过程中并发发送的可能性|MAC_COLLISION_POSSIBILITY|四类介质接入方法|-|-|-
13C37|HDLC零比特填充|连续计数数据位并在阈值处插零|1|帧定界;透明传输|-|跟踪连续一的个数;按规则插入填充零;保持原始数据次序|HDLC_BIT_STUFFING|跨字节连续数据位|-|-|题目选项对应数据字段填充，不额外补入未要求展示的首尾标志
13C38|直通交换的最小转发延迟|收到目的MAC后即可决定输出端口|1|以太网首部;比特传输率|-|识别必须先读取的首部长度;将该长度换算为接收时间|CUT_THROUGH_LATENCY|不含前导码且输出无排队|-|-|-
